state,year,month,avg_temp,min_temp,max_temp,avg_wind,min_wind,max_wind,avg_humidity,min_humidity,max_humidity
Louisiana,2025,12,11.533503401360544,-3.8,25.5,9.752125850340136,1.5,27.2,77.96768707482993,25,100
Maine,2020,12,0.3275641025641025,-7.5,13.6,15.558333333333334,5.4,33.9,69.21794871794872,31,100
Maine,2021,1,-3.754301075268817,-16.6,5.7,10.838037634408602,0.0,38.0,66.83333333333333,23,100
Maine,2021,2,-5.596726190476191,-19.5,5.4,10.3375,0.8,35.5,74.32291666666667,40,100
Maine,2021,3,0.31599462365591396,-16.4,17.6,13.713172043010752,0.7,33.9,63.5,15,100
Maine,2021,4,7.1883333333333335,-5.2,21.4,12.270972222222223,0.4,28.9,70.20416666666667,18,100
Maine,2021,5,12.856854838709678,2.5,31.5,10.444758064516128,0.4,27.8,65.78494623655914,26,100
Maine,2021,6,20.603055555555557,8.5,33.9,11.750555555555556,1.4,25.6,67.43888888888888,22,100
Maine,2021,7,18.913575268817205,9.6,28.7,9.302956989247312,0.4,27.3,82.95295698924731,37,100
Maine,2021,8,21.470026881720432,12.8,32.8,8.494086021505376,0.4,18.6,79.39516129032258,32,100
Maine,2021,9,16.862222222222222,9.4,24.4,10.613055555555555,0.4,23.0,81.79583333333333,42,100
Maine,2021,10,11.326747311827958,2.5,24.2,10.100806451612904,0.5,30.3,82.46505376344086,41,100
Maine,2021,11,3.1013888888888888,-6.4,14.8,10.57486111111111,0.5,33.7,74.78888888888889,28,100
Maine,2021,12,-2.1283602150537635,-17.0,11.8,10.725672043010752,0.4,30.2,69.51075268817205,22,100
Maine,2022,1,-8.946639784946237,-26.8,7.9,11.431854838709677,0.7,41.1,70.11290322580645,21,100
Maine,2022,2,-4.680654761904762,-20.5,16.9,13.712202380952382,1.4,36.1,70.73511904761905,24,100
Maine,2022,3,0.49018817204301074,-20.2,17.5,12.304569892473118,0.8,31.3,68.88306451612904,21,100
Maine,2022,4,6.2444444444444445,-2.5,16.7,12.79875,0.4,39.2,68.29722222222222,25,100
Maine,2022,5,13.564381720430108,1.2,31.7,10.624462365591398,0.5,27.8,70.6975806451613,27,100
Maine,2022,6,17.070555555555554,7.8,31.7,10.622222222222222,0.0,24.1,74.12083333333334,35,100
Maine,2022,7,22.34543010752688,11.1,33.8,10.893010752688172,1.1,25.8,65.26209677419355,25,100
Maine,2022,8,21.468413978494624,13.1,34.0,8.915053763440861,0.5,21.0,77.40456989247312,28,100
Maine,2022,9,15.586527777777777,4.9,28.4,9.982083333333334,0.4,27.6,78.06944444444444,34,100
Maine,2022,10,10.999327956989248,0.9,22.3,9.341397849462366,0.4,31.9,80.19220430107526,39,100
Maine,2022,11,4.954027777777778,-8.1,21.4,12.552361111111113,0.7,30.6,72.95694444444445,28,100
Maine,2022,12,-0.6178763440860215,-10.6,11.0,13.76491935483871,0.8,43.6,71.05645161290323,32,100
Maine,2023,1,-1.8413978494623655,-11.6,9.1,10.911155913978494,0.5,25.8,76.9489247311828,29,100
Maine,2023,2,-5.264136904761905,-29.6,10.3,11.209821428571429,1.0,23.6,68.9985119047619,26,100
Maine,2023,3,0.1668010752688172,-10.6,8.9,11.815322580645162,0.4,36.7,73.01881720430107,33,100
Maine,2023,4,6.610694444444444,-5.4,21.8,10.983472222222222,0.7,32.4,70.27777777777777,26,100
Maine,2023,5,12.460618279569893,0.4,30.0,13.423790322580643,2.3,35.0,62.918010752688176,22,100
Maine,2023,6,16.10111111111111,6.2,32.5,9.383611111111112,0.4,26.5,85.77222222222223,32,100
Maine,2023,7,21.878091397849463,13.2,31.0,8.182526881720431,0.0,22.1,85.05510752688173,44,100
Maine,2023,8,18.832930107526884,11.2,26.6,9.475940860215054,0.7,25.0,82.24059139784946,41,100
